Month,Day,Max_Temp,Avg_Temp,Min_Temp,Max_DewP,Avg_DewP,Min_DewP,Max_PctHum,Avg_PctHum,Min_PctHum,Max_WindMPH,Avg_WindMPH,Min_WindMPH,Max_Pres,Avg_Pres,Min_Pres,Total_Prec
Jan,21,28,19.9,14,-2,-6,-9,41,32.5,22,13,6.4,0,29.9,29.6,29.4,0
Jan,22,35,25.2,12,7,2.7,-4,70,41.3,21,13,4,0,30,29.9,29.8,0
Jan,23,46,41.4,32,43,29.9,7,93,66.3,34,16,7.9,0,29.8,29.4,29.1,0
Jan,24,60,51,33,57,44,20,94,78.7,46,14,6,0,29.2,28.9,28.8,0.59
Jan,25,43,36.4,29,20,13.8,7,59,41.4,24,12,4.8,0,29.5,29.4,29.2,0.28
Jan,26,44,34.4,24,17,12.8,7,63,42.3,28,9,2.5,0,29.5,29.5,29.4,0
Jan,27,50,38.3,25,27,21.7,14,72,52.5,41,12,3.8,0,29.4,29.3,29.3,0
Jan,28,43,35.8,30,22,17,14,61,47.4,35,10,3.4,0,29.4,29.3,29.3,0
Jan,29,40,34.1,29,34,22.9,6,86,64.6,38,7,1.8,0,29.3,29.2,29.1,0
Jan,30,38,24.6,0,12,1,-9,48,34.1,0,18,8.1,0,29.6,29.3,29.2,0.02
Jan,31,30,20.9,9,7,-1.9,-9,64,38,25,13,3,0,29.7,29.7,29.6,0
Feb,1,30,25,20,15,5.9,-1,61,44.5,37,10,3.8,0,29.7,29.6,29.6,0
Feb,2,48,34.1,21,25,19.6,15,78,57,37,8,3.5,0,29.7,29.6,29.5,0
Feb,3,65,47.2,31,36,31.1,22,76,55.8,34,7,2.5,0,29.5,29.4,29.4,0
Feb,4,67,50,33,39,35.6,30,89,60.6,36,6,2.2,0,29.4,29.3,29.3,0
Feb,5,77,59.8,43,49,43.1,35,74,55.8,36,7,2.5,0,29.4,29.3,29.3,0
Feb,6,63,56.2,49,54,50.5,45,94,81.9,60,8,1.2,0,29.4,29.3,29.3,0
Feb,7,56,53.4,52,53,50,48,93,88.2,83,9,3.7,0,29.4,29.3,29.2,0.1
Feb,8,64,52.9,40,50,32.7,7,93,54.6,18,17,6.7,0,29.7,29.4,29.2,0.02
Feb,9,42,34.8,28,12,7.5,3,51,33.1,22,12,5.8,0,30,29.9,29.7,0
Feb,10,40,32,21,29,18.9,11,85,61.8,32,10,3.9,0,30,29.8,29.6,0
Feb,11,37,35.2,33,34,31.7,29,93,87.1,82,8,5.3,0,29.6,29.5,29.5,0.19
Feb,12,39,37.4,34,36,34,31,93,87.8,85,9,4.8,0,29.6,29.3,29,0.4
Feb,13,50,43.4,38,37,25.2,17,93,52.8,32,15,7.1,0,29.3,29.1,29,0
Feb,14,54,45.5,33,28,21.8,17,54,39.7,26,12,4.9,0,29.4,29.3,29.2,0
Feb,15,65,57.5,51,40,33,27,44,39.8,35,20,10.3,0,29.2,29.1,29,0
Feb,16,54,44.5,33,25,19.9,17,56,38.2,28,10,5.9,0,29.3,29.2,29.1,0
Feb,17,40,35.3,30,33,26.2,18,89,70.7,52,10,5.6,0,29.4,29.3,29.2,0
Feb,18,55,43.3,37,38,29.4,20,93,61.9,33,16,7.7,0,29.7,29.3,29.1,0.53
Feb,19,45,39.4,33,23,21,19,64,48.4,42,10,4.3,0,29.9,29.8,29.7,0
Feb,20,38,32.9,30,32,28.6,17,96,84.3,43,9,4,0,29.9,29.6,29.3,0.33
Feb,21,68,42.7,34,48,36.8,30,92,80.8,49,13,4.4,0,29.5,29.3,29.3,0.59
Feb,22,49,46,43,43,37.2,32,90,72.6,56,6,2.4,0,29.7,29.6,29.5,0.05
Feb,23,43,39.5,38,36,34.2,30,89,81.9,62,12,4.8,0,29.7,29.6,29.4,0
Feb,24,68,44.5,38,47,33,12,93,70.7,24,17,7.7,0,29.4,29.1,28.8,0.75
Feb,25,55,46.8,41,13,6,-1,31,19.6,11,18,9.9,3,29.6,29.4,29.2,0.01
Feb,26,62,48.1,32,22,16.5,11,50,29.6,18,13,5.8,0,29.7,29.6,29.5,0
Feb,27,51,40.4,31,32,24.6,17,73,54,44,12,4.6,0,29.7,29.5,29.3,0
Feb,28,54,44.5,34,34,28.7,21,82,56.2,39,12,6.9,0,29.5,29.4,29.2,0
Mar,1,38,35.6,35,33,31.6,27,89,85.7,65,10,6.8,0,29.5,29.5,29.4,0.12
Mar,2,52,41.3,35,40,35.4,31,92,80.4,61,7,2,0,29.4,29.4,29.3,0.56
Mar,3,44,38.5,35,39,34.9,32,93,87.2,79,10,4.8,0,29.4,29.3,29.1,0
Mar,4,44,38,30,34,22.9,13,89,56.4,38,14,7.3,0,29.4,29.2,29.1,0.66
Mar,5,43,33.7,28,14,10.5,7,56,39.6,25,12,4.3,0,29.4,29.4,29.2,0
Mar,6,37,29.3,23,7,2.4,-1,43,32.3,22,10,5.2,0,29.6,29.5,29.4,0
Mar,7,44,35.3,22,18,11.4,7,63,38.4,27,16,4.5,0,29.6,29.6,29.6,0
Mar,8,36,33.6,31,31,26.4,14,89,76.5,42,8,3,0,29.7,29.6,29.5,0
Mar,9,38,34.9,32,35,31.3,28,93,86.6,76,12,3.1,0,29.6,29.5,29.5,0.14
Mar,10,65,45.4,37,51,38.6,28,93,79.5,28,16,5,0,29.4,29.3,29.2,0.3
Mar,11,63,56.9,52,31,23.8,14,43,29,19,12,5.1,0,29.5,29.4,29.4,0
Mar,12,59,49.2,40,19,14.9,11,40,26.6,15,10,5,0,29.6,29.6,29.5,0
Mar,13,64,48.1,30,32,25.5,17,64,43.6,26,15,6.3,0,29.6,29.6,29.5,0
Mar,14,74,62,48,50,42.3,32,56,48.8,40,22,12.9,7,29.5,29.4,29.3,0
Mar,15,76,69.1,60,59,53.4,31,70,58.3,28,22,14.4,0,29.2,29.2,29.1,0
Mar,16,60,51.1,44,31,19.8,15,42,30.4,18,16,7.7,0,29.5,29.4,29.3,0
Mar,17,56,46.6,37,20,17.2,13,46,32,18,8,4.3,0,29.6,29.5,29.4,0
Mar,18,51,43.8,38,28,22.6,16,55,43.5,34,14,6,0,29.7,29.6,29.5,0
Mar,19,53,41.6,26,24,19.2,17,75,43.4,26,8,3.2,0,29.8,29.7,29.6,0
Mar,20,57,44.8,30,29,23,20,72,45.5,26,7,2.9,0,29.7,29.6,29.5,0
Mar,21,48,43.8,42,41,38.3,29,93,81.6,48,9,5,0,29.4,29.2,29,0.5
Mar,22,56,48.4,42,36,29.8,22,71,49.6,35,16,8.8,0,29.2,29,28.9,1.67
Mar,23,58,48.4,40,26,17,12,55,31,16,16,8.7,3,29.6,29.4,29.2,0
Mar,24,70,54,34,31,21.6,14,56,30.2,17,16,5.1,0,29.6,29.5,29.4,0
Mar,25,64,54.8,42,41,33.1,26,77,46.3,25,16,6.5,0,29.4,29.3,29.3,0
Mar,26,53,45.9,39,40,21.1,9,77,42.4,17,20,11.1,0,29.7,29.5,29.4,0
Mar,27,56,43.3,28,21,15.3,12,66,35.5,20,9,3.4,0,29.8,29.7,29.7,0
Mar,28,67,51,33,35,29,22,70,45.5,28,16,8.5,0,29.7,29.6,29.5,0
Mar,29,73,61.5,48,41,37.5,34,63,42.6,28,12,4.1,0,29.5,29.4,29.4,0
Mar,30,78,64.3,50,45,42.6,40,68,47.6,29,21,9.5,0,29.4,29.2,29.1,0
Mar,31,65,56.8,40,50,32.6,15,65,41.1,27,21,12.5,5,29.5,29.2,29,0.01
Apr,1,53,41.3,32,17,13.3,10,42,32.8,22,9,5,0,29.7,29.6,29.5,0
Apr,2,46,40,29,31,24.6,18,75,55.1,39,8,3.4,0,29.6,29.5,29.4,0
Apr,3,73,54.5,32,32,25.3,20,75,39.8,16,14,5.4,0,29.6,29.5,29.4,0
Apr,4,72,60.2,47,33,28.8,20,56,31.9,22,9,3.6,0,29.7,29.6,29.6,0
Apr,5,57,49.1,46,46,42.1,32,90,78.7,40,12,6.1,0,29.6,29.6,29.5,0.08
Apr,6,69,53.3,47,51,46.3,43,93,78.9,49,6,1.9,0,29.6,29.5,29.5,0.27
Apr,7,73,62,52,57,53.4,48,90,74.6,55,17,5.9,0,29.6,29.5,29.4,0
Apr,8,83,69.6,59,60,57.6,55,90,68.8,39,14,6.6,0,29.3,29.2,29.1,0.03
Apr,9,81,69.4,59,60,51.1,28,90,57.7,22,9,4,0,29.1,29,28.9,0.04
Apr,10,75,64.5,50,35,31,26,49,29.7,20,10,4.5,0,29.3,29.2,29.1,0
Apr,11,70,58.8,51,48,39.9,32,69,50.1,39,13,7.1,0,29.5,29.4,29.3,0
Apr,12,66,59.5,53,62,55,45,93,85,74,9,2.4,0,29.5,29.4,29.4,0
Apr,13,74,64.7,60,63,59.1,53,93,83.2,48,10,3.6,0,29.4,29.4,29.3,0.8
Apr,14,74,66.1,60,66,60.6,55,90,82.9,71,21,5,0,29.3,29.1,28.8,0
Apr,15,72,59.3,46,64,41.4,28,81,53.1,35,17,10.3,3,29.4,29,28.8,0.26
Apr,16,72,57,43,38,33.3,28,58,42.4,27,14,6.9,0,29.5,29.4,29.3,0
Apr,17,83,68.6,51,50,44.2,37,66,43.7,24,12,5.6,0,29.4,29.3,29.3,0
Apr,18,84,66.9,54,56,49.9,45,77,56.8,34,18,7.7,0,29.4,29.3,29.1,0
Apr,19,74,69.5,66,66,62.6,54,88,78.8,55,22,12.7,5,29.1,29,28.9,0
Apr,20,67,63.5,51,62,52.2,36,87,68.7,41,21,11.5,0,29.1,28.9,28.8,0.97
Apr,21,68,56.8,44,44,41,39,86,58.4,36,7,3.3,0,29.4,29.3,29.2,0
Apr,22,75,62.8,50,45,41.9,39,68,48.2,29,12,4.1,0,29.5,29.4,29.4,0
Apr,23,85,69.3,50,52,48.3,43,80,50.5,30,15,6.3,0,29.4,29.3,29.1,0
Apr,24,79,71.8,63,59,54.1,47,75,54.3,42,9,3.4,0,29.2,29.2,29.1,0
Apr,25,75,66.2,58,59,52.4,44,87,63.1,42,6,2.5,0,29.2,29.2,29.1,0
Apr,26,74,62.5,57,60,53.7,39,90,74.7,48,17,5.5,0,29.1,28.9,28.8,0.12
Apr,27,75,63.1,52,45,33,27,77,35.2,20,15,6,0,29.2,29.1,29.1,0.25
Apr,28,81,63.2,53,53,47,42,83,58.6,30,15,6,0,29.6,29.3,29.2,0.01
Apr,29,62,54.9,45,49,42.2,35,80,63.4,45,9,5.5,0,29.7,29.6,29.5,0.02
Apr,30,83,66.4,53,62,56.2,49,89,71.5,46,8,5,0,29.6,29.5,29.5,0
May,1,77,68,64,65,61.6,60,90,80.5,66,8,5.9,0,29.6,29.6,29.5,0
May,2,88,72.4,62,70,63.1,59,93,74.5,46,17,5.4,0,29.5,29.4,29.4,0
May,3,86,74,64,65,61.9,59,90,68.5,41,17,7,0,29.4,29.3,29.2,0.16
May,4,84,70,64,66,63,58,94,80.4,44,9,1.7,0,29.2,29.2,29.1,0.07
May,5,71,68.2,62,66,63.1,57,90,84.2,66,9,4.9,0,29.2,29,29,0.01
May,6,78,67,56,57,54.5,50,90,66.9,37,7,2.4,0,29.4,29.3,29.2,0
May,7,80,68.3,56,65,58.2,52,90,71.6,52,16,4.5,0,29.5,29.4,29.4,0
May,8,78,69.3,61,63,60.1,57,87,73.3,58,13,7.2,0,29.5,29.4,29.4,0.04
May,9,79,68.9,64,64,61.4,59,90,77.9,52,12,4.9,0,29.5,29.4,29.4,0.07
May,10,83,73.9,67,65,62.3,58,81,67.6,53,20,11.5,3,29.4,29.3,29.3,0
May,11,72,64.3,59,63,59.3,55,90,84.2,66,13,7.2,0,29.4,29.3,29.2,0.02
May,12,62,58.7,54,57,54.9,50,90,87.2,80,14,7,0,29.2,29.1,29,0.65
May,13,63,55.7,51,55,49.7,43,89,80.7,59,12,5.4,0,29.2,29.1,29.1,0.58
May,14,63,56,51,47,41.5,39,77,59.3,44,12,4.8,0,29.3,29.2,29.1,0.08
May,15,73,61.2,46,49,41.7,38,76,51.5,28,9,4.3,0,29.3,29.3,29.2,0
May,16,81,68.2,55,52,47.8,42,72,49.7,30,8,3.3,0,29.3,29.2,29.2,0
May,17,84,70,58,66,59.9,49,87,71.6,47,17,3.6,0,29.2,29.2,29.1,0
May,18,88,74.8,66,66,63.7,59,90,70.4,48,16,3.5,0,29.3,29.3,29.2,0.54
May,19,91,76.2,64,70,64.5,61,90,69.8,43,24,7.4,0,29.4,29.3,29.2,0
May,20,89,79.5,70,66,58.5,46,71,50.4,31,13,6.8,0,29.3,29.2,29.1,0
May,21,78,69.8,59,54,49.8,43,63,49.5,38,9,4.4,0,29.5,29.3,29.2,0
May,22,77,65.7,54,56,50.5,45,83,59.7,44,9,3.2,0,29.6,29.5,29.5,0
May,23,87,77.1,61,69,63.1,55,83,63,48,15,6.8,0,29.6,29.4,29.3,0
May,24,90,82.3,76,67,62.8,60,64,52.5,37,12,4.9,0,29.4,29.4,29.3,0
May,25,89,77,65,70,64.6,58,85,66.8,44,15,4.4,0,29.5,29.4,29.4,0
May,26,92,76.3,66,71,67,64,94,74.9,43,26,5.4,0,29.4,29.3,29.3,0
May,27,86,74.6,67,70,66.2,63,90,76.4,51,7,2,0,29.3,29.3,29.2,0.29
May,28,93,76.1,68,70,65.1,61,90,72.8,34,9,2.6,0,29.3,29.2,29.1,0.02
May,29,92,81.9,74,68,63.2,58,64,53.4,43,9,4.3,0,29.2,29.1,29.1,0
May,30,90,79.5,70,68,62.9,57,71,57.4,42,13,6.2,0,29.2,29.1,29.1,0
May,31,87,74.1,66,62,60.1,57,87,63.9,40,9,4,0,29.2,29.1,29.1,0
Jun,1,83,72.9,64,63,58.4,53,94,64,36,10,2.2,0,29.2,29.2,29.1,0
Jun,2,87,74.2,62,67,60.8,57,90,64.8,41,8,3.3,0,29.2,29.1,29.1,0
Jun,3,77,68.4,58,59,48.2,40,80,51.5,26,12,4.5,0,29.4,29.3,29.2,0
Jun,4,79,66.5,49,52,47.1,43,80,52.1,36,12,5.1,0,29.5,29.4,29.3,0
Jun,5,79,71.4,61,69,61.2,51,82,70.2,59,13,5.9,0,29.4,29.2,29.1,0
Jun,6,89,79.9,71,69,65.5,63,81,62.6,43,10,5.1,0,29.2,29.1,29.1,0
Jun,7,76,73,70,68,66,64,84,78.6,71,12,5.5,0,29.3,29.2,29.1,0
Jun,8,79,73.4,70,64,60.9,56,78,65.2,52,12,8.1,5,29.4,29.4,29.3,0.09
Jun,9,72,68.9,63,68,63.8,53,90,83.9,51,16,11.2,6,29.5,29.4,29.4,0
Jun,10,79,71.1,64,71,65.2,61,90,82.1,66,15,6.6,0,29.4,29.3,29.2,0.83
Jun,11,79,71.4,62,68,53.6,45,87,55.9,32,12,5.3,0,29.4,29.4,29.2,0.24
Jun,12,77,66.6,56,58,53.5,51,87,64.9,42,10,4.7,0,29.5,29.4,29.3,0
Jun,13,78,67.3,60,63,57.5,42,90,73.3,41,13,5.3,0,29.3,29.1,29.1,0.55
Jun,14,79,68.5,57,50,43.9,40,63,42.3,29,12,5.4,0,29.5,29.4,29.2,0.11
Jun,15,83,70.5,52,57,53.6,48,86,57.5,38,17,8,0,29.5,29.4,29.3,0
Jun,16,89,77.6,66,71,63.6,55,74,62.3,55,17,10.3,0,29.3,29.2,29.2,0
Jun,17,91,78.2,70,70,67,64,90,69.7,45,17,4.8,0,29.3,29.3,29.2,0
Jun,18,88,76.5,70,71,67.9,66,90,76,49,10,4.4,0,29.3,29.3,29.2,0.03
Jun,19,88,75.2,70,72,68.7,66,90,81,55,14,4.4,0,29.2,29.1,29,0
Jun,20,90,77.5,71,71,66.7,59,91,71.8,45,12,5.3,0,29,29,28.9,0.1
Jun,21,84,77.7,70,61,55.7,52,57,47,34,14,6.3,0,29.3,29.1,28.9,0
Jun,22,84,74,64,56,51.3,43,72,47.2,26,9,4.6,0,29.4,29.3,29.3,0
Jun,23,84,72.5,58,60,56,52,83,58.8,37,13,3.8,0,29.4,29.4,29.3,0
Jun,24,94,76.6,67,71,66.9,59,90,73.5,44,20,5.8,0,29.3,29.2,29.1,0
Jun,25,90,77.8,70,71,66.1,58,91,69.6,40,9,3,0,29.3,29.2,29.1,0.91
Jun,26,89,79,66,65,62.1,58,81,58.3,36,8,3.3,0,29.4,29.4,29.4,0
Jun,27,90,79.3,68,70,66.6,64,87,66.7,45,14,3.3,0,29.6,29.5,29.4,0
Jun,28,94,80.4,69,69,65.7,63,87,62.9,36,14,3,0,29.5,29.5,29.4,0.54
Jun,29,93,80.2,68,71,66.4,62,87,64.1,45,15,3.7,0,29.5,29.4,29.3,0
Jun,30,92,82.8,73,70,65.4,61,76,57,37,14,4.7,0,29.3,29.2,29.2,0.41
Jul,1,87,76.4,64,64,59.8,57,84,58.4,36,7,3,0,29.3,29.3,29.3,0
Jul,2,93,79.3,65,70,65.3,62,90,64.1,45,13,3.4,0,29.3,29.2,29.2,0
Jul,3,95,84.3,74,70,66.9,63,76,57.4,38,12,3.9,0,29.3,29.2,29.2,0
Jul,4,92,79.3,72,73,70.1,68,91,74.9,50,13,2.8,0,29.4,29.4,29.3,0
Jul,5,89,77.1,72,74,69.9,68,91,79.4,53,16,2.9,0,29.5,29.4,29.4,0.01
Jul,6,92,81.1,72,75,72.2,68,91,75.3,54,8,2.7,0,29.4,29.3,29.2,0.35
Jul,7,89,80,73,75,72,68,91,76.8,59,14,4,0,29.3,29.2,29.2,0.01
Jul,8,86,76.9,73,73,70.3,66,91,80.5,63,17,5.5,0,29.4,29.2,29.2,0.02
Jul,9,87,77.7,68,65,63.4,56,87,63.6,38,10,4.2,0,29.4,29.4,29.4,0
Jul,10,90,79.3,68,71,67.8,64,87,69.1,52,12,4.6,0,29.4,29.4,29.3,0
Jul,11,92,78.1,72,74,70.6,68,90,78.5,55,21,7.5,0,29.3,29.2,29.1,0
Jul,12,91,78.3,71,72,69.4,68,93,76.3,47,8,2.7,0,29.2,29.2,29.1,0.82
Jul,13,91,80.8,70,69,66,63,84,62.4,39,7,1.7,0,29.4,29.3,29.2,0
Jul,14,95,81.5,71,72,67.8,63,87,66.1,36,14,3,0,29.4,29.4,29.3,0
Jul,15,90,79.5,70,72,68.7,67,90,71,50,9,2.8,0,29.5,29.4,29.4,0.07
Jul,16,92,83.2,72,75,70.6,68,87,67.2,47,7,2.2,0,29.4,29.4,29.3,0
Jul,17,95,83,76,75,71.8,67,87,70.4,40,14,4.2,0,29.4,29.3,29.2,0
Jul,18,94,83.6,75,73,71.2,70,85,67.6,47,12,3.9,0,29.3,29.2,29.2,0.03
Jul,19,98,86.5,75,73,70.8,68,88,62.3,39,8,3.1,0,29.3,29.3,29.2,0
Jul,20,98,87.7,76,75,71.7,69,85,61.5,39,12,3.6,0,29.3,29.3,29.2,0
Jul,21,100,85.1,76,74,69.8,66,85,61.6,40,13,3.8,0,29.3,29.2,29.2,0
Jul,22,91,81.5,74,71,68.4,66,82,65.4,47,23,7.2,0,29.2,29.2,29.1,0
Jul,23,75,70.8,67,69,64,60,87,79.1,68,13,1.9,0,29.3,29.2,29.1,0.08
Jul,24,85,74.5,63,65,59.4,56,87,61.5,38,9,3.8,0,29.4,29.3,29.2,0.21
Jul,25,87,74.3,60,61,57.1,54,86,58.2,32,9,3,0,29.5,29.4,29.4,0
Jul,26,88,75.9,62,62,59.4,57,87,59.8,36,8,2.3,0,29.6,29.6,29.5,0
Jul,27,91,78.3,64,65,61.9,60,87,60,38,12,3.5,0,29.6,29.6,29.5,0
Jul,28,94,81.9,69,65,62,58,84,54.4,30,7,2.7,0,29.5,29.5,29.4,0
Jul,29,96,82.9,68,66,63,59,87,54.7,30,12,3,0,29.4,29.4,29.3,0
Jul,30,95,76.7,70,71,66.7,64,90,73.3,36,26,5.4,0,29.4,29.3,29.3,0
Jul,31,88,71.7,67,70,66,62,93,83.2,53,13,3.3,0,29.5,29.4,29.3,1.65
Aug,1,89,73.4,64,69,65.5,62,94,78.1,46,10,2.4,0,29.4,29.4,29.4,0.8
Aug,2,85,74.9,68,68,65.6,64,90,74,56,9,4.4,0,29.5,29.4,29.4,0.22
Aug,3,88,76.3,68,71,68.1,65,90,77.3,49,8,1.6,0,29.4,29.3,29.3,0
Aug,4,89,80.6,71,71,66.8,63,87,64.7,43,7,2.8,0,29.3,29.3,29.2,0
Aug,5,86,77.9,70,68,65.3,63,81,66,53,7,3.8,0,29.3,29.3,29.3,0
Aug,6,90,76.5,68,71,66.6,64,90,73.8,43,9,2.5,0,29.3,29.2,29.1,0
Aug,7,90,78.8,70,70,67.1,63,87,69.3,40,10,4.3,0,29.2,29.1,29.1,0
Aug,8,90,76.2,67,68,64.6,60,93,70.9,37,7,2.5,0,29.2,29.1,29.1,0.3
Aug,9,90,81.4,71,66,61.4,55,73,51.7,35,7,4.2,0,29.2,29.2,29.1,0
Aug,10,86,74.3,62,63,57.5,53,81,57.3,38,6,1.9,0,29.3,29.3,29.2,0
Aug,11,86,74,62,62,59.1,57,86,62.4,37,8,2,0,29.4,29.4,29.3,0
Aug,12,90,78,63,68,64.4,59,87,64.7,45,9,4.2,0,29.4,29.3,29.2,0
Aug,13,90,76.9,0,74,63.7,0,87,66.4,0,20,7.3,0,29.2,29.1,29.1,0
Aug,14,90,77.3,71,73,69.7,68,94,79.4,52,7,2.6,0,29.2,29.1,29.1,0
Aug,15,88,78.8,69,73,69.8,65,90,74.4,57,15,5.8,0,29.3,29.3,29.2,0
Aug,16,87,74.9,68,74,68.5,65,93,81.2,59,8,2.5,0,29.3,29.3,29.3,0.71
Aug,17,92,78.9,72,73,70.4,69,93,76.9,47,10,2.2,0,29.4,29.3,29.3,0
Aug,18,94,82.2,71,72,68.9,64,91,66.3,43,10,4,0,29.3,29.3,29.3,0
Aug,19,96,80.4,71,72,68.7,65,91,70.3,40,13,2.9,0,29.4,29.3,29.3,0
Aug,20,93,78.9,71,72,69.1,67,91,73.8,47,7,2.7,0,29.4,29.4,29.3,0.14
Aug,21,94,80.6,71,73,69.9,67,90,71.9,44,10,3.7,0,29.4,29.3,29.2,0.02
Aug,22,93,78.5,72,71,68.5,66,90,72.8,48,17,5,0,29.3,29.3,29.2,0
Aug,23,79,71.2,67,70,66.4,61,94,84.9,69,16,7.1,0,29.4,29.3,29.3,0.36
Aug,24,78,70.8,63,62,55.9,52,87,61.2,40,13,6.3,0,29.5,29.5,29.4,0.62
Aug,25,78,67.5,56,58,55.2,53,90,66.9,42,13,4.5,0,29.6,29.5,29.5,0
Aug,26,74,68.6,62,63,60,57,84,74.2,62,10,3.8,0,29.5,29.5,29.4,0
Aug,27,77,72.1,67,67,63.9,61,84,75.5,66,5,1.2,0,29.4,29.3,29.3,0
Aug,28,85,75.3,71,71,66.4,57,87,74.8,48,9,1.8,0,29.3,29.2,29.2,0
Aug,29,85,73.1,61,60,55,52,81,55.1,33,7,2.3,0,29.4,29.3,29.3,0
Aug,30,89,73.7,57,65,59.1,53,90,63.5,38,8,2,0,29.4,29.4,29.4,0
Aug,31,90,77.9,65,69,65.2,61,87,66.5,46,10,4.5,0,29.6,29.5,29.4,0
Sep,1,84,76.2,70,68,65.3,62,87,69.3,58,9,5,0,29.6,29.6,29.5,0
Sep,2,90,75.8,70,70,67.7,65,90,76.9,48,9,4.6,0,29.5,29.4,29.3,0
Sep,3,87,76.4,69,68,64.9,62,90,69.7,46,7,3.2,0,29.4,29.4,29.3,0.01
Sep,4,94,79.6,67,69,66.5,63,87,67.1,41,12,4.3,0,29.3,29.3,29.2,0
Sep,5,79,75.3,72,67,62.3,59,69,63.9,58,15,9.9,0,29.4,29.3,29.3,0
Sep,6,85,74.2,69,62,59.9,58,75,61.7,41,13,6.6,0,29.3,29.2,29.1,0
Sep,7,86,73.8,63,62,59.4,57,87,63.3,37,6,1.9,0,29.3,29.2,29.2,0
Sep,8,88,74.1,60,61,57.9,56,86,59.7,35,13,2.9,0,29.4,29.4,29.3,0
Sep,9,85,75,67,65,62.9,60,84,67.2,48,7,2,0,29.6,29.5,29.4,0
Sep,10,88,75,67,66,64.5,63,87,71.5,46,8,1.8,0,29.6,29.6,29.6,0
Sep,11,97,78.3,68,71,67.5,65,91,72.2,39,12,5.2,0,29.6,29.5,29.4,0
Sep,12,97,81.5,68,73,67.8,64,90,67.3,34,9,2.7,0,29.5,29.4,29.4,0.13
Sep,13,76,70.8,67,70,66.4,64,90,86.1,79,12,6.8,0,29.7,29.6,29.5,0
Sep,14,79,71.6,67,69,65.5,63,90,81.4,66,13,3.6,0,29.6,29.6,29.5,0.07
Sep,15,86,75.4,69,67,64.3,61,90,71,44,7,2.9,0,29.5,29.5,29.4,0
Sep,16,93,77.6,63,68,61.8,54,90,63.3,27,8,1.8,0,29.4,29.4,29.3,0
Sep,17,76,71.9,67,66,63.7,62,87,75.4,65,13,5.4,0,29.4,29.4,29.3,0
Sep,18,78,67.7,60,62,56.4,49,90,69.8,36,10,3.5,0,29.6,29.5,29.4,0
Sep,19,74,63.4,55,54,51,47,83,66.1,38,7,2.7,0,29.6,29.6,29.6,0
Sep,20,82,65.1,50,55,50.8,46,89,63.4,34,12,3.8,0,29.6,29.6,29.5,0
Sep,21,91,74.4,58,65,60.3,54,90,64.6,38,8,2.3,0,29.6,29.5,29.5,0
Sep,22,93,78.9,66,67,63.8,61,87,62.8,34,12,3.7,0,29.5,29.4,29.4,0
Sep,23,93,80.8,68,63,60.5,57,78,53,30,12,5.3,0,29.3,29.3,29.2,0
Sep,24,82,73.2,62,61,53.5,47,84,52.9,29,13,4.3,0,29.3,29.2,29.2,0
