time,airtime,channel,co2,coding_rate,data_rate,dev_id,frequency,gtw_id,humidity,latitude,longitude,modulation,pm10,pm25,rssi,snr,temp,timestamp
2020-01-28T06:10:29.498113265Z,61696000,4,1105,4/5,SF7BW125,sbox3,904.7,sds-gateway-3,44.7,38.026337,-78.50461,LORA,0,0,-69,9.5,16.42,3028754395
2020-01-28T06:25:28.584708273Z,61696000,3,953,4/5,SF7BW125,sbox3,904.5,sds-gateway-3,52,38.026337,-78.50461,LORA,0,0,-69,9.25,9.43,3928741915
1/28/2020 6:40:28 AM,61696000,6,937,4/5,SF7BW125,sbox3,905.1,sds-gateway-3,55.83,38.026337,-78.50461,LORA,0,0,-58,10.25,7.52,533765132
2020-01-28T06:55:28.555995449Z,61696000,4,917,4/5,SF7BW125,sbox3,904.7,sds-gateway-3,57.89,38.026337,-78.50461,LORA,0,0,-73,9.25,6.66,1433757627
2020-01-28T07:10:28.590145352Z,61696000,0,898,4/5,SF7BW125,sbox3,903.9,sds-gateway-3,58.87,38.026337,-78.50461,LORA,0,0,-70,9.25,6.28,2333752315
2020-01-28T07:25:28.632258554Z,61696000,7,877,4/5,SF7BW125,sbox3,905.3,sds-gateway-3,59.48,38.026337,-78.50461,LORA,0,0,-71,10,6.05,3233747668
2020-01-28T07:40:28.572684804Z,61696000,2,817,4/5,SF7BW125,sbox3,904.3,sds-gateway-3,59.96,38.026337,-78.50461,LORA,0,0,-72,7,5.83,4133743627
2020-01-28T07:55:28.603840106Z,61696000,3,786,4/5,SF7BW125,sbox3,904.5,sds-gateway-3,60.27,38.026337,-78.50461,LORA,0,0,-73,10.25,5.7,738772683
2020-01-28T08:10:28.639573972Z,61696000,2,766,4/5,SF7BW125,sbox3,904.3,sds-gateway-3,60.25,38.026337,-78.50461,LORA,0,0,-69,7.5,5.74,1638769115
2020-01-28T08:25:28.574547144Z,61696000,6,744,4/5,SF7BW125,sbox3,905.1,sds-gateway-3,60.24,38.026337,-78.50461,LORA,0,0,-70,10,5.77,2538766252
2020-01-28T08:40:28.605908494Z,61696000,7,726,4/5,SF7BW125,sbox3,905.3,sds-gateway-3,60.19,38.026337,-78.50461,LORA,0,0,-66,8.75,5.65,3438763244
2020-01-28T08:55:28.545054731Z,61696000,4,710,4/5,SF7BW125,sbox3,904.7,sds-gateway-3,60.34,38.026337,-78.50461,LORA,0,0,-76,9.5,5.53,43793139
2020-01-28T09:10:28.576464246Z,61696000,7,687,4/5,SF7BW125,sbox3,905.3,sds-gateway-3,60.71,38.026337,-78.50461,LORA,0,0,-82,9.25,5.32,943790452
2020-01-28T09:25:28.623611377Z,61696000,6,672,4/5,SF7BW125,sbox3,905.1,sds-gateway-3,60.99,38.026337,-78.50461,LORA,0,0,-73,10.5,5.21,1843788308
2020-01-28T09:40:28.560866899Z,61696000,7,661,4/5,SF7BW125,sbox3,905.3,sds-gateway-3,61.39,38.026337,-78.50461,LORA,0,0,-75,9.25,4.9,2743785180
2020-01-28T09:55:28.588752563Z,61696000,1,648,4/5,SF7BW125,sbox3,904.1,sds-gateway-3,61.72,38.026337,-78.50461,LORA,0,0,-75,11,4.77,3643783515
2020-01-28T10:10:28.523516631Z,61696000,7,641,4/5,SF7BW125,sbox3,905.3,sds-gateway-3,61.94,38.026337,-78.50461,LORA,0,0,-80,8.75,4.6,248814348
2020-01-28T10:25:28.563731905Z,61696000,0,630,4/5,SF7BW125,sbox3,903.9,sds-gateway-3,62.15,38.026337,-78.50461,LORA,0,0,-81,11,4.57,1148812667
2020-01-28T10:40:28.601000438Z,61696000,2,623,4/5,SF7BW125,sbox3,904.3,sds-gateway-3,62.41,38.026337,-78.50461,LORA,0,0,-78,7.75,4.56,2048811035
2020-01-28T10:55:28.541241601Z,61696000,4,609,4/5,SF7BW125,sbox3,904.7,sds-gateway-3,62.76,38.026337,-78.50461,LORA,0,0,-81,10.5,4.16,2948809203
2020-01-28T11:10:28.583134065Z,61696000,3,597,4/5,SF7BW125,sbox3,904.5,sds-gateway-3,63.38,38.026337,-78.50461,LORA,0,0,-81,10.5,4.16,3848808339
2020-01-28T11:25:28.623553746Z,61696000,0,588,4/5,SF7BW125,sbox3,903.9,sds-gateway-3,63.84,38.026337,-78.50461,LORA,0,0,-79,10.25,4.22,453839867
2020-01-28T11:40:28.559053001Z,61696000,3,580,4/5,SF7BW125,sbox3,904.5,sds-gateway-3,64.16,38.026337,-78.50461,LORA,0,0,-79,11,4.32,1353838659
2020-01-28T11:55:28.596723219Z,61696000,7,575,4/5,SF7BW125,sbox3,905.3,sds-gateway-3,64.22,38.026337,-78.50461,LORA,0,0,-77,10.75,4.45,2253837332
2020-01-28T12:10:28.535394933Z,61696000,5,561,4/5,SF7BW125,sbox3,904.9,sds-gateway-3,64.28,38.026337,-78.50461,LORA,0,0,-72,9.5,4.49,3153835676
2020-01-28T12:25:28.580842351Z,61696000,6,550,4/5,SF7BW125,sbox3,905.1,sds-gateway-3,64.07,38.026337,-78.50461,LORA,0,0,-75,10,4.7,4053834596
2020-01-28T12:40:28.631508113Z,61696000,3,547,4/5,SF7BW125,sbox3,904.5,sds-gateway-3,63.74,38.026337,-78.50461,LORA,0,0,-75,10.25,4.94,658865651
2020-01-28T12:55:28.583461489Z,61696000,1,541,4/5,SF7BW125,sbox3,904.1,sds-gateway-3,63.58,38.026337,-78.50461,LORA,0,0,-79,9.25,5.21,1558863723
2020-01-28T13:10:28.584224721Z,61696000,7,540,4/5,SF7BW125,sbox3,905.3,sds-gateway-3,63.32,38.026337,-78.50461,LORA,0,0,-81,10.25,5.56,2458861412
2020-01-28T13:25:28.606485944Z,61696000,1,538,4/5,SF7BW125,sbox3,904.1,sds-gateway-3,62.33,38.026337,-78.50461,LORA,0,0,-103,-2,6.08,3358859019
2020-01-28T13:40:28.789672515Z,61696000,1,536,4/5,SF7BW125,sbox3,904.1,sds-gateway-3,59.9,38.026337,-78.50461,LORA,0,0,-102,-1.25,7.17,4258854683
2020-01-28T13:55:28.631853826Z,61696000,5,531,4/5,SF7BW125,sbox3,904.9,sds-gateway-3,57.99,38.026337,-78.50461,LORA,0,0,-75,9.5,7.8,863883076
2020-01-28T14:10:28.875775737Z,61696000,5,527,4/5,SF7BW125,sbox3,904.9,sds-gateway-3,56.84,38.026337,-78.50461,LORA,0,0,-101,-1.5,8.63,1763877556
2020-01-28T14:25:28.605868757Z,61696000,4,532,4/5,SF7BW125,sbox3,904.7,sds-gateway-3,52.04,38.026337,-78.50461,LORA,0,0,-105,2.5,14.42,2663870755
2020-01-28T14:40:28.615729565Z,61696000,7,524,4/5,SF7BW125,sbox3,905.3,sds-gateway-3,50.19,38.026337,-78.50461,LORA,0,0,-113,-7.25,12.91,3563861364
2020-01-28T15:10:28.532905609Z,61696000,6,772,4/5,SF7BW125,sbox3,905.1,center-for-civic-innovation,46.98,38.030693,-78.47908,LORA,0,0,-44,9,20.19,1872815428
2020-01-28T15:25:28.523845773Z,61696000,1,793,4/5,SF7BW125,sbox3,904.1,center-for-civic-innovation,42.69,38.030693,-78.47908,LORA,0,0,-45,10.5,21.77,2772801851
2020-01-28T15:40:28.528692712Z,61696000,5,833,4/5,SF7BW125,sbox3,904.9,center-for-civic-innovation,41.14,38.030693,-78.47908,LORA,0,0,-59,10.5,22.22,3672787764
2020-01-30T21:06:15.834834948Z,205824000,4,1277,4/5,SF9BW125,sbox5,904.7,center-for-civic-innovation,41.28,38.030693,-78.47908,LORA,0,0,-57,12.5,17.01,1093128780
2020-01-30T21:21:15.610042681Z,71936000,3,2143,4/5,SF7BW125,sbox5,904.5,center-for-civic-innovation,41.21,38.030693,-78.47908,LORA,0,0,-51,9.75,23.11,1992978859
2020-01-30T21:36:15.614005995Z,61696000,4,2638,4/5,SF7BW125,sbox5,904.7,center-for-civic-innovation,36.24,38.030693,-78.47908,LORA,0,0,-57,9.75,24.44,2892951763
2020-01-30T21:51:16.645167337Z,61696000,7,2747,4/5,SF7BW125,sbox5,905.3,center-for-civic-innovation,38.12,38.030693,-78.47908,LORA,0,0,-59,9.25,23.85,3792934836
2020-01-30T22:06:15.622805403Z,61696000,6,3283,4/5,SF7BW125,sbox5,905.1,center-for-civic-innovation,42.4,38.030693,-78.47908,LORA,0,0,-61,9.25,24.2,397950676
2020-01-31T22:06:04.920937081Z,61696000,5,296,4/5,SF7BW125,sbox6,904.9,sds-gateway-3,43.24,38.026337,-78.50461,LORA,0,0,-12,11,9.67,2762449572
2020-01-31T23:36:04.917180972Z,61696000,0,224,4/5,SF7BW125,sbox6,903.9,sds-gateway-3,47.17,38.026337,-78.50461,LORA,1,1,-13,10.25,8.6,3867440595
2020-02-01T06:41:42.227566744Z,61696000,6,408,,SF7BW125,sbox4,905.1,sds-alex-apt,56.72,,,,1,1,-53,11.5,0.25,1318997804
2020-02-01T06:49:21.066579247Z,113152000,2,516,,SF8BW125,sbox9,904.3,sds-gateway-1,46.01,,,,1,1,-49,8.75,23.63,4119779036
2020-02-01T06:51:04.811625888Z,61696000,3,188,,SF7BW125,sbox6,904.5,sds-gateway-3,50.67,,,,13,8,-10,10.75,6.45,3793844211
2020-02-01T06:52:10.302367804Z,61696000,0,1072,,SF7BW125,sbox5,903.9,sds-gateway-1,32.91,,,,0,0,-60,10.75,25.84,4289008419
2020-02-01T06:53:02.66571892Z,61696000,2,853,,SF7BW125,sbox7,904.3,sds-gateway-1,38.15,,,,0,0,-53,8,23.76,46444403
2020-02-01T06:53:52.42628372Z,61696000,0,694,,SF7BW125,sbox10,903.9,sds-gateway-1,45,,,,0,0,-55,10.25,23.72,96142587
2020-02-01T06:54:34.112353823Z,61696000,0,730,,SF7BW125,sbox3,903.9,sds-gateway-1,35.33,,,,0,0,-59,8.5,23.83,137870379
2020-02-01T06:56:42.183849235Z,61696000,5,403,,SF7BW125,sbox4,904.9,sds-alex-apt,56.48,,,,3,3,-45,10.5,0.13,2218998164
2020-02-01T07:04:21.002050302Z,113152000,4,514,,SF8BW125,sbox9,904.7,sds-gateway-1,45.76,,,,13,13,-53,12.25,23.6,724796388
2020-02-01T07:06:04.828664377Z,61696000,2,191,,SF7BW125,sbox6,904.3,sds-gateway-3,50.89,,,,0,0,-12,7,6.45,398873411
2020-02-01T07:07:10.241652246Z,61696000,3,1070,,SF7BW125,sbox5,904.5,sds-gateway-1,33.43,,,,0,0,-55,10,25.26,894023499
2020-02-01T07:08:02.712725115Z,61696000,3,847,,SF7BW125,sbox7,904.5,sds-gateway-1,38.26,,,,0,0,-54,10.5,23.71,946425571
2020-02-01T07:08:52.398618711Z,61696000,7,700,,SF7BW125,sbox10,905.3,sds-gateway-1,45.8,,,,57,46,-107,-6,23.69,996133260
2020-02-01T07:09:34.142858527Z,61696000,3,732,,SF7BW125,sbox3,904.5,sds-gateway-1,35.55,,,,5,5,-67,9,23.79,1037855315
2020-02-01T07:11:42.252491082Z,61696000,4,406,,SF7BW125,sbox4,904.7,sds-alex-apt,57.33,,,,5,5,-52,9.25,0.25,3118998587
2020-02-01T07:19:21.214244448Z,113152000,2,515,,SF8BW125,sbox9,904.3,sds-gateway-1,46.04,,,,11,11,-60,8.5,23.9,1624780068
2020-02-01T07:21:04.760968924Z,61696000,5,198,,SF7BW125,sbox6,904.9,sds-gateway-3,50.89,,,,1,1,-9,10,6.26,1298869564
2020-02-01T07:22:10.288595539Z,61696000,5,1062,,SF7BW125,sbox5,904.9,sds-gateway-1,33.59,,,,0,0,-54,9.5,24.9,1794005964
2020-02-01T07:23:02.742975323Z,61696000,1,863,,SF7BW125,sbox7,904.1,sds-gateway-1,38.04,,,,0,0,-55,10,23.87,1846406651
2020-02-01T07:23:52.341826048Z,61696000,5,719,,SF7BW125,sbox10,904.9,sds-gateway-1,46.13,,,,55,43,-49,10.25,24.18,1896123188
2020-02-01T07:24:34.091010886Z,61696000,7,739,,SF7BW125,sbox3,905.3,sds-gateway-1,35.45,,,,8,8,-47,10,24.06,1937839428
2020-02-01T07:24:40.498507952Z,205824000,2,679,,SF9BW125,sbox11,904.3,sds-gateway-1,51.59,,,,32,26,-53,8.75,24.31,1944248244
2020-02-01T07:26:42.203994988Z,61696000,0,401,,SF7BW125,sbox4,903.9,sds-alex-apt,57.26,,,,4,4,-67,9.5,0.23,4018999011
2020-02-01T07:28:12.715967737Z,205824000,4,1277,,SF9BW125,sbox2,904.7,sds-gateway-1,53.54,,,,16,16,-54,12.25,23.74,2156471244
2020-02-01T07:34:21.011522511Z,113152000,3,519,,SF8BW125,sbox9,904.5,sds-gateway-1,46.43,,,,14,14,-61,11,23.77,2524764036
2020-02-01T07:36:04.872093268Z,61696000,4,200,,SF7BW125,sbox6,904.7,sds-gateway-3,51.13,,,,3,3,-11,9.5,6.34,2198865915
2020-02-01T07:37:10.243951656Z,61696000,6,1058,,SF7BW125,sbox5,905.1,sds-gateway-1,33.65,,,,0,0,-54,9.5,24.74,2693987996
2020-02-01T07:38:02.626528531Z,61696000,0,848,,SF7BW125,sbox7,903.9,sds-gateway-1,38.07,,,,0,0,-57,9.75,23.89,2746387379
2020-02-01T07:38:52.377307867Z,61696000,2,710,,SF7BW125,sbox10,904.3,sds-gateway-1,46.3,,,,34,32,-46,8,23.99,2796113515
2020-02-01T07:39:34.077693318Z,61696000,7,750,,SF7BW125,sbox3,905.3,sds-gateway-1,35.2,,,,27,11,-108,-5,24.12,2837823908
2020-02-01T07:39:40.469992557Z,123392000,0,679,,SF8BW125,sbox11,903.9,sds-gateway-1,52.62,,,,37,32,-114,-7.75,24.04,2844149828
2020-02-01T07:41:42.261620526Z,61696000,2,398,,SF7BW125,sbox4,904.3,sds-alex-apt,57.15,,,,5,5,-57,6.5,0.11,624032307
2020-02-01T07:43:12.543015374Z,71936000,1,1253,,SF7BW125,sbox2,904.1,sds-gateway-1,53.86,,,,17,17,-58,9.25,23.69,3056323635
2020-02-01T07:49:20.959428893Z,113152000,6,514,,SF8BW125,sbox9,905.1,sds-gateway-1,46.47,,,,11,11,-61,11,23.75,3424748132
2020-02-01T07:51:04.823238521Z,61696000,2,199,,SF7BW125,sbox6,904.3,sds-gateway-3,51.01,,,,6,6,-10,7.25,6.34,3098862315
2020-02-01T07:52:10.182544724Z,61696000,7,1053,,SF7BW125,sbox5,905.3,sds-gateway-1,33.64,,,,0,0,-55,10.5,24.64,3593970876
2020-02-01T07:53:02.654383934Z,61696000,3,855,,SF7BW125,sbox7,904.5,sds-gateway-1,37.88,,,,0,0,-55,9,23.89,3646368843
2020-02-01T07:53:52.322111805Z,61696000,6,703,,SF7BW125,sbox10,905.1,sds-gateway-1,46.27,,,,39,32,-49,9.25,23.95,3696103708
2020-02-01T07:54:34.079987644Z,61696000,6,744,,SF7BW125,sbox3,905.1,sds-gateway-1,35,,,,2,2,-49,10.25,24.15,3737808492
2020-02-01T07:54:40.419612931Z,113152000,7,680,,SF8BW125,sbox11,905.3,sds-gateway-1,53.56,,,,40,33,-107,-6.5,24.18,3744123380
2020-02-01T07:56:42.227157929Z,61696000,4,408,,SF7BW125,sbox4,904.7,sds-alex-apt,56.76,,,,5,5,-49,9,0.01,1524032915
2020-02-01T07:58:13.62002723Z,61696000,7,1240,,SF7BW125,sbox2,905.3,sds-gateway-1,54.06,,,,18,18,-57,9,23.69,3956299564
2020-02-01T08:04:20.998426041Z,113152000,4,511,,SF8BW125,sbox9,904.7,sds-gateway-1,46.53,,,,5,5,-61,11,23.71,29764972
2020-02-01T08:06:04.752778161Z,61696000,3,197,,SF7BW125,sbox6,904.5,sds-gateway-3,50.95,,,,31,15,-12,10.75,6.05,3998858787
2020-02-01T08:07:10.237181904Z,61696000,4,1055,,SF7BW125,sbox5,904.7,sds-gateway-1,33.65,,,,0,0,-57,9.25,24.59,198985987
2020-02-01T08:08:02.599994254Z,61696000,4,847,,SF7BW125,sbox7,904.7,sds-gateway-1,37.88,,,,0,0,-54,9,23.86,251382635
2020-02-01T08:08:52.37761061Z,61696000,7,702,,SF7BW125,sbox10,905.3,sds-gateway-1,46.49,,,,26,26,-49,10,23.95,301125332
2020-02-01T08:09:34.050526581Z,61696000,7,744,,SF7BW125,sbox3,905.3,sds-gateway-1,34.94,,,,5,5,-49,11,24.17,342825716
2020-02-01T08:09:40.357587168Z,113152000,6,691,,SF8BW125,sbox11,905.1,sds-gateway-1,54.13,,,,40,33,-108,-7.75,23.95,349140044
2020-02-01T08:11:43.312185464Z,61696000,2,399,,SF7BW125,sbox4,904.3,sds-alex-apt,57.41,,,,12,12,-55,8,0,2425025995
2020-02-01T08:13:12.539101311Z,61696000,6,1211,,SF7BW125,sbox2,905.1,sds-gateway-1,54.27,,,,21,21,-59,10.5,23.68,561318548
2/1/2020 8:19:20 AM,113152000,5,512,,SF8BW125,sbox9,904.9,sds-gateway-1,46.69,,,,28,18,-67,12,23.71,929748988
2020-02-01T08:21:04.807601835Z,61696000,6,204,,SF7BW125,sbox6,905.1,sds-gateway-3,50.93,,,,4,4,-12,11,5.81,603888212
2020-02-01T08:22:10.196813627Z,61696000,1,1051,,SF7BW125,sbox5,904.1,sds-gateway-1,33.59,,,,0,0,-52,10.5,24.58,1098968467
2020-02-01T08:23:02.547880919Z,61696000,7,843,,SF7BW125,sbox7,905.3,sds-gateway-1,36.9,,,,0,0,-59,9.5,23.86,1151363684
2020-02-01T08:23:52.31543572Z,61696000,6,682,,SF7BW125,sbox10,905.1,sds-gateway-1,46.56,,,,10,10,-59,9.75,23.92,1201117052
2020-02-01T08:24:34.08033132Z,61696000,3,739,,SF7BW125,sbox3,904.5,sds-gateway-1,34.88,,,,12,12,-48,9.5,24.11,1242810195
2020-02-01T08:24:40.383532511Z,113152000,6,684,,SF8BW125,sbox11,905.1,sds-gateway-1,54.57,,,,41,35,-55,10.5,23.89,1249123980
2020-02-01T08:26:42.23374504Z,61696000,5,400,,SF7BW125,sbox4,904.9,sds-alex-apt,57.46,,,,1,1,-52,8.75,655.22,3324034308
2020-02-01T08:28:12.476273898Z,61696000,7,1211,,SF7BW125,sbox2,905.3,sds-gateway-1,54.26,,,,25,25,-66,9.5,23.67,1461304900
2020-02-01T08:34:20.98899294Z,113152000,0,493,,SF8BW125,sbox9,903.9,sds-gateway-1,46.69,,,,28,21,-70,11,23.63,1829733108
2020-02-01T08:36:04.915839519Z,61696000,1,204,,SF7BW125,sbox6,904.1,sds-gateway-3,51.39,,,,0,0,-12,10,5.98,1503885091
2020-02-01T08:37:10.116905176Z,61696000,7,1058,,SF7BW125,sbox5,905.3,sds-gateway-1,33.56,,,,0,0,-53,9.5,24.54,1998950860
2020-02-01T08:38:02.591690306Z,61696000,2,837,,SF7BW125,sbox7,904.3,sds-gateway-1,37.48,,,,0,0,-54,7.25,23.78,2051344763
2020-02-01T08:38:52.369055483Z,61696000,7,679,,SF7BW125,sbox10,905.3,sds-gateway-1,46.52,,,,22,22,-61,10,23.87,2101107340
2020-02-01T08:39:34.041600131Z,61696000,7,734,,SF7BW125,sbox3,905.3,sds-gateway-1,34.79,,,,14,14,-108,-6,24.08,2142794700
2020-02-01T08:39:40.344417073Z,113152000,7,676,,SF8BW125,sbox11,905.3,sds-gateway-1,54.82,,,,42,34,-108,-8.25,23.81,2149107900
2020-02-01T08:41:42.287798595Z,61696000,3,403,,SF7BW125,sbox4,904.5,sds-alex-apt,57.73,,,,4,4,-48,9.75,655.05,4224035259
2020-02-01T08:43:12.523451377Z,61696000,6,1190,,SF7BW125,sbox2,905.1,sds-gateway-1,54.2,,,,25,25,-61,9.75,23.64,2361291004
2020-02-01T08:49:20.933469633Z,113152000,6,487,,SF8BW125,sbox9,905.1,sds-gateway-1,46.66,,,,33,24,-66,12.25,23.6,2729717100
2020-02-01T08:51:04.770280798Z,61696000,4,203,,SF7BW125,sbox6,904.7,sds-gateway-3,51.49,,,,4,4,-10,9.25,5.92,2403881899
2020-02-01T08:52:10.163579766Z,61696000,4,1065,,SF7BW125,sbox5,904.7,sds-gateway-1,33.53,,,,0,0,-53,10.5,24.51,2898932995
2020-02-01T08:53:02.553519652Z,61696000,0,824,,SF7BW125,sbox7,903.9,sds-gateway-1,37.31,,,,0,0,-60,9.25,23.78,2951325435
2020-02-01T08:53:52.311802412Z,61696000,3,675,,SF7BW125,sbox10,904.5,sds-gateway-1,46.49,,,,28,25,-58,10.75,23.84,3001097611
2020-02-01T08:54:33.969229453Z,61696000,2,731,,SF7BW125,sbox3,904.3,sds-gateway-1,34.62,,,,13,13,-43,6.75,24.06,3042779099
2020-02-01T08:54:40.363049084Z,113152000,6,674,,SF8BW125,sbox11,905.1,sds-gateway-1,54.95,,,,6,6,-55,11.75,23.77,3049092172
2020-02-01T08:58:12.470291751Z,61696000,5,1157,,SF7BW125,sbox2,904.9,sds-gateway-1,54.15,,,,6,6,-60,9.25,23.64,3261277588
2020-02-01T09:04:20.880138629Z,113152000,7,475,,SF8BW125,sbox9,905.3,sds-gateway-1,46.7,,,,6,6,-65,11.5,23.58,3629701428
2020-02-01T09:06:04.806583269Z,61696000,5,206,,SF7BW125,sbox6,904.9,sds-gateway-3,51.59,,,,1,1,-12,10.5,5.82,3303879220
2020-02-01T09:07:10.125175836Z,61696000,0,1072,,SF7BW125,sbox5,903.9,sds-gateway-1,33.63,,,,0,0,-52,10.5,24.54,3798915731
2020-02-01T09:08:02.482857222Z,61696000,2,814,,SF7BW125,sbox7,904.3,sds-gateway-1,37.16,,,,0,0,-48,6.25,23.75,3851306843
2020-02-01T09:08:52.359515075Z,61696000,0,661,,SF7BW125,sbox10,903.9,sds-gateway-1,45.38,,,,8,8,-69,9.75,23.82,3901088227
2020-02-01T09:09:34.101517606Z,61696000,1,722,,SF7BW125,sbox3,904.1,sds-gateway-1,34.51,,,,0,0,-45,9,24.03,3942764083
2020-02-01T09:09:40.400557332Z,113152000,1,667,,SF8BW125,sbox11,904.1,sds-gateway-1,55.03,,,,10,10,-59,10.5,23.74,3949075788
2020-02-01T09:11:42.239621837Z,61696000,1,396,,SF7BW125,sbox4,904.1,sds-alex-apt,58.03,,,,3,3,-55,9.25,654.75,708655699
2020-02-01T09:13:12.614875399Z,61696000,1,1132,,SF7BW125,sbox2,904.1,sds-gateway-1,54.08,,,,1,1,-61,11,23.61,4161263459
2020-02-01T09:19:20.933210212Z,113152000,2,475,,SF8BW125,sbox9,904.3,sds-gateway-1,46.7,,,,3,3,-60,8.5,23.56,234717964
2020-02-01T09:21:04.744693076Z,61696000,1,213,,SF7BW125,sbox6,904.1,sds-gateway-3,51.85,,,,3,3,-12,11.25,5.82,4203875643
2020-02-01T09:22:10.165148488Z,61696000,3,1080,,SF7BW125,sbox5,904.5,sds-gateway-1,33.58,,,,0,0,-51,10,24.59,403930851
2020-02-01T09:23:02.531267004Z,61696000,3,802,,SF7BW125,sbox7,904.5,sds-gateway-1,37.04,,,,0,0,-53,9.75,23.76,456320667
2020-02-01T09:23:52.31405329Z,61696000,7,656,,SF7BW125,sbox10,905.3,sds-gateway-1,46.57,,,,11,11,-61,9.25,23.79,506111004
2020-02-01T09:24:33.960197025Z,61696000,3,692,,SF7BW125,sbox3,904.5,sds-gateway-1,34.4,,,,0,0,-47,10.75,24.04,547780851
2020-02-01T09:24:40.26996496Z,113152000,5,654,,SF8BW125,sbox11,904.9,sds-gateway-1,55.04,,,,4,4,-59,11.75,23.74,554092396
2020-02-01T09:26:42.296365746Z,61696000,5,400,,SF7BW125,sbox4,904.9,sds-alex-apt,58.13,,,,3,3,-41,9,654.74,1608656956
2020-02-01T09:28:12.466466978Z,61696000,3,1116,,SF7BW125,sbox2,904.5,sds-gateway-1,54.01,,,,3,3,-60,10.25,23.59,766282387
2020-02-01T09:34:21.067794283Z,113152000,1,467,,SF8BW125,sbox9,904.1,sds-gateway-1,46.72,,,,2,2,-60,10.5,23.56,1134701964
2020-02-01T09:36:04.787147072Z,61696000,0,218,,SF7BW125,sbox6,903.9,sds-gateway-3,51.9,,,,5,5,-12,10,5.75,808905219
2020-02-01T09:37:10.121285921Z,61696000,2,1090,,SF7BW125,sbox5,904.3,sds-gateway-1,33.52,,,,0,0,-49,7.75,24.55,1303913179
2020-02-01T09:38:02.486778764Z,61696000,4,807,,SF7BW125,sbox7,904.7,sds-gateway-1,36.97,,,,0,0,-58,10.25,23.73,1356301707
2020-02-01T09:38:52.257188962Z,61696000,2,635,,SF7BW125,sbox10,904.3,sds-gateway-1,46.58,,,,9,9,-59,7.75,23.77,1406101219
2020-02-01T09:39:33.919820014Z,61696000,4,699,,SF7BW125,sbox3,904.7,sds-gateway-1,34.33,,,,1,1,-49,10.5,23.97,1447765339
2020-02-01T09:39:40.227316091Z,113152000,2,651,,SF8BW125,sbox11,904.3,sds-gateway-1,55.1,,,,3,3,-53,8.75,23.68,1454076484
2020-02-01T09:41:42.246154426Z,61696000,1,405,,SF7BW125,sbox4,904.1,sds-alex-apt,58.36,,,,3,3,-43,10.25,654.77,2508658659
2020-02-01T09:43:12.429894409Z,61696000,2,1108,,SF7BW125,sbox2,904.3,sds-gateway-1,53.92,,,,7,7,-59,7.75,23.58,1666268635
2020-02-01T09:49:20.928447521Z,113152000,6,461,,SF8BW125,sbox9,905.1,sds-gateway-1,46.66,,,,0,0,-66,12.25,23.53,2034686068
